,Date,M01,M03,M06,Y01,Y02,Y05,Y10,Y15,Y20,Y30,Alpha0,Alpha1,Alpha2,Thau
19182,2019-03-13,1.86,1.96,1.99,1.99,1.969,2.036,2.2030000000000003,2.443,2.499,2.651,2.7848262786865234,1.9783605337142944,-1.2022638320922852,34.09428787231445
19183,2019-03-13,1.86,1.96,1.99,1.99,1.969,2.036,2.2030000000000003,2.443,2.499,2.651,3.053894281387329,1.941689372062683,-1.0331674814224243,69.24407958984375
19184,2019-03-13,1.86,1.96,1.99,1.99,1.969,2.036,2.2030000000000003,2.443,2.499,2.651,3.3681952953338623,1.9279049634933472,-0.6776759028434753,139.94692993164062
19185,2019-03-14,1.84,1.96,2.0,1.99,1.953,2.043,2.214,2.474,2.532,2.674,2.774445056915283,1.969980001449585,-1.2161123752593994,33.489418029785156
19186,2019-03-14,1.84,1.96,2.0,1.99,1.953,2.043,2.214,2.474,2.532,2.674,3.082524538040161,1.9390406608581543,-1.0220388174057007,73.84477996826172
19187,2019-03-14,1.84,1.96,2.0,1.99,1.953,2.043,2.214,2.474,2.532,2.674,3.3417410850524902,1.9230257272720337,-0.6402482390403748,142.17041015625
19188,2019-03-15,1.84,1.96,2.0,1.99,1.953,2.024,2.199,2.449,2.509,2.654,2.7586114406585693,1.9777766466140747,-1.2281337976455688,33.063262939453125
19189,2019-03-15,1.84,1.96,2.0,1.99,1.953,2.024,2.199,2.449,2.509,2.654,3.0452868938446045,1.9446877241134644,-1.083511233329773,68.36028289794922
19190,2019-03-15,1.84,1.96,2.0,1.99,1.953,2.024,2.199,2.449,2.509,2.654,3.3785643577575684,1.92198646068573,-0.756453275680542,139.89573669433594
19191,2019-03-16,1.842,2.019,-256.0,2.04,1.967,2.024,2.199,2.449,2.509,2.654,2.7504467964172363,1.9794310331344604,-1.2460142374038696,32.86719512939453
19192,2019-03-16,1.842,2.019,-256.0,2.04,1.967,2.024,2.199,2.449,2.509,2.654,3.087127447128296,1.942710280418396,-1.0800459384918213,74.71373748779297
19193,2019-03-16,1.842,2.019,-256.0,2.04,1.967,2.024,2.199,2.449,2.509,2.654,3.377845525741577,1.9282516241073608,-0.8308695554733276,135.80931091308594
19194,2019-03-17,-256.0,-256.0,-256.0,-256.0,1.964,-256.0,-256.0,-256.0,-256.0,-256.0,2.7532901763916016,1.9773000478744507,-1.2617428302764893,33.992855072021484
19195,2019-03-17,-256.0,-256.0,-256.0,-256.0,1.964,-256.0,-256.0,-256.0,-256.0,-256.0,3.0717098712921143,1.9427746534347534,-1.1198806762695312,72.50439453125
19196,2019-03-17,-256.0,-256.0,-256.0,-256.0,1.964,-256.0,-256.0,-256.0,-256.0,-256.0,3.384089469909668,1.9255996942520142,-0.9015055298805237,133.13131713867188
19197,2019-03-18,1.84,1.96,2.0,1.99,1.943,1.993,2.165,2.404,2.463,2.619,2.7710304260253906,1.9663166999816895,-1.274512529373169,35.25531005859375
19198,2019-03-18,1.84,1.96,2.0,1.99,1.943,1.993,2.165,2.404,2.463,2.619,3.0948870182037354,1.945942759513855,-1.1856666803359985,74.20037078857422
19199,2019-03-18,1.84,1.96,2.0,1.99,1.943,1.993,2.165,2.404,2.463,2.619,3.4342994689941406,1.92616605758667,-0.9684392213821411,135.62356567382812
19200,2019-03-19,1.91,1.97,1.99,1.99,1.955,1.993,2.148,2.389,2.45,2.6060000000000003,2.749701976776123,1.987532138824463,-1.299135684967041,35.74859619140625
19201,2019-03-19,1.91,1.97,1.99,1.99,1.955,1.993,2.148,2.389,2.45,2.6060000000000003,3.1017937660217285,1.9447349309921265,-1.2287875413894653,75.01033782958984
19202,2019-03-19,1.91,1.97,1.99,1.99,1.955,1.993,2.148,2.389,2.45,2.6060000000000003,3.451911211013794,1.9316308498382568,-1.0614073276519775,136.0706024169922
19203,2019-03-20,1.86,1.98,2.0,1.99,1.973,1.989,2.149,2.388,2.456,2.597,2.756844997406006,2.002678871154785,-1.320727825164795,36.97306823730469
19204,2019-03-20,1.86,1.98,2.0,1.99,1.973,1.989,2.149,2.388,2.456,2.597,3.0460894107818604,1.9564402103424072,-1.286765217781067,70.36969757080078
19205,2019-03-20,1.86,1.98,2.0,1.99,1.973,1.989,2.149,2.388,2.456,2.597,3.4728071689605713,1.924241065979004,-1.1521859169006348,135.8030548095703
19206,2019-03-21,1.86,1.98,2.0,1.99,1.936,1.937,2.059,2.323,2.377,2.529,2.734057903289795,1.9925270080566406,-1.3369898796081543,35.98339080810547
19207,2019-03-21,1.86,1.98,2.0,1.99,1.936,1.937,2.059,2.323,2.377,2.529,3.012206792831421,1.9543747901916504,-1.338996410369873,65.97904968261719
19208,2019-03-21,1.86,1.98,2.0,1.99,1.936,1.937,2.059,2.323,2.377,2.529,3.4723610877990723,1.9405604600906372,-1.1782115697860718,137.0189208984375
19209,2019-03-22,1.86,1.98,2.01,2.0,1.908,1.924,2.047,2.296,2.361,2.509,2.7167530059814453,2.0045502185821533,-1.3669408559799194,35.623287200927734
19210,2019-03-22,1.86,1.98,2.01,2.0,1.908,1.924,2.047,2.296,2.361,2.509,3.0525050163269043,1.9673100709915161,-1.3589824438095093,70.71768188476562
19211,2019-03-22,1.86,1.98,2.01,2.0,1.908,1.924,2.047,2.296,2.361,2.509,3.5030412673950195,1.9309179782867432,-1.236497163772583,142.0455322265625
19212,2019-03-23,-256.0,-256.0,-256.0,-256.0,1.908,1.924,2.047,2.296,2.361,2.509,2.6723246574401855,2.021266460418701,-1.3747992515563965,32.28498077392578
19213,2019-03-23,-256.0,-256.0,-256.0,-256.0,1.908,1.924,2.047,2.296,2.361,2.509,3.057920455932617,1.972177505493164,-1.4008960723876953,71.63380432128906
19214,2019-03-23,-256.0,-256.0,-256.0,-256.0,1.908,1.924,2.047,2.296,2.361,2.509,3.4916839599609375,1.9473161697387695,-1.3914498090744019,132.413330078125
19215,2019-03-24,-256.0,-256.0,-256.0,-256.0,1.961,1.924,2.046,2.296,-256.0,-256.0,2.6980788707733154,2.0078561305999756,-1.4165854454040527,34.57868194580078
19216,2019-03-24,-256.0,-256.0,-256.0,-256.0,1.961,1.924,2.046,2.296,-256.0,-256.0,3.042815685272217,1.968047857284546,-1.41279137134552,69.9587631225586
19217,2019-03-24,-256.0,-256.0,-256.0,-256.0,1.961,1.924,2.046,2.296,-256.0,-256.0,3.493720531463623,1.9486315250396729,-1.417160987854004,129.01400756835938
19218,2019-03-25,1.86,1.98,2.01,2.0,1.898,1.922,2.042,2.285,2.346,2.496,2.730372905731201,2.0239431858062744,-1.4304802417755127,37.59128189086914
19219,2019-03-25,1.86,1.98,2.01,2.0,1.898,1.922,2.042,2.285,2.346,2.496,2.9609169960021973,1.9814008474349976,-1.4419194459915161,60.68613815307617
19220,2019-03-25,1.86,1.98,2.01,2.0,1.898,1.922,2.042,2.285,2.346,2.496,3.5149781703948975,1.933306336402893,-1.3539557456970215,140.0003662109375
19221,2019-03-26,1.95,1.95,2.07,2.0,1.91,1.946,2.07,2.313,2.378,2.528,2.739995002746582,2.018648386001587,-1.447454810142517,38.6677131652832
19222,2019-03-26,1.95,1.95,2.07,2.0,1.91,1.946,2.07,2.313,2.378,2.528,3.0245468616485596,1.983408808708191,-1.4676131010055542,68.94223022460938
19223,2019-03-26,1.95,1.95,2.07,2.0,1.91,1.946,2.07,2.313,2.378,2.528,3.5046565532684326,1.9431183338165283,-1.4276642799377441,136.60104370117188
19224,2019-03-27,1.95,1.95,2.05,2.02,1.9,1.913,2.053,2.302,2.365,2.515,2.746243953704834,2.022801637649536,-1.4718769788742065,40.25889205932617
19225,2019-03-27,1.95,1.95,2.05,2.02,1.9,1.913,2.053,2.302,2.365,2.515,2.9640777111053467,1.9881924390792847,-1.478007197380066,62.122230529785156
19226,2019-03-27,1.95,1.95,2.05,2.02,1.9,1.913,2.053,2.302,2.365,2.515,3.5514237880706787,1.9510670900344849,-1.522114634513855,134.83926391601562
19227,2019-03-28,1.95,1.95,2.05,2.02,1.905,1.913,2.049,2.299,2.359,2.519,2.7452971935272217,2.0123038291931152,-1.4754594564437866,40.62260437011719
19228,2019-03-28,1.95,1.95,2.05,2.02,1.905,1.913,2.049,2.299,2.359,2.519,3.011821985244751,1.9861935377120972,-1.4876381158828735,67.7927474975586
19229,2019-03-28,1.95,1.95,2.05,2.02,1.905,1.913,2.049,2.299,2.359,2.519,3.50342059135437,1.9584057331085205,-1.543700933456421,127.20053100585938
