,Date,Y01,Y02,Y03,Y05,Y07,Y10,Y15,Y20,Y30,Alpha0,Alpha1,Alpha2,Thau
13300,2019-09-09,2.624,2.7,2.779,2.903,3.079,3.037,3.4,3.43,3.67,4.0637898445129395,2.499781847000122,-0.2221291959285736,79.58799743652344
13301,2019-09-09,2.624,2.7,2.779,2.903,3.079,3.037,3.4,3.43,3.67,3.8889846801757812,2.4993069171905518,0.9899745583534241,140.46839904785156
13302,2019-09-10,2.61,2.69,2.786,2.923,3.095,3.052,3.393,3.44,3.698,3.7956759929656982,2.623873233795166,-1.4490731954574585,25.67936134338379
13303,2019-09-10,2.61,2.69,2.786,2.923,3.095,3.052,3.393,3.44,3.698,4.062716484069824,2.499911308288574,-0.3102383613586426,73.93778228759766
13304,2019-09-10,2.61,2.69,2.786,2.923,3.095,3.052,3.393,3.44,3.698,3.9477460384368896,2.500932455062866,0.8457826375961304,134.97999572753906
13305,2019-09-11,-256.0,2.69,2.79,2.915,3.11,3.06,-256.0,-256.0,-256.0,3.793799877166748,2.6344761848449707,-1.5326298475265503,24.725027084350586
13306,2019-09-11,-256.0,2.69,2.79,2.915,3.11,3.06,-256.0,-256.0,-256.0,4.062070846557617,2.49320387840271,-0.3264836072921753,72.42373657226562
13307,2019-09-11,-256.0,2.69,2.79,2.915,3.11,3.06,-256.0,-256.0,-256.0,3.837367534637451,2.482367992401123,1.1093934774398804,135.9976043701172
13308,2019-09-12,2.56,2.69,2.786,2.935,3.125,3.094,3.41,3.47,3.72,3.7939906120300293,2.6353821754455566,-1.5141980648040771,24.91133689880371
13309,2019-09-12,2.56,2.69,2.786,2.935,3.125,3.094,3.41,3.47,3.72,4.073915958404541,2.496504306793213,-0.14842520654201508,82.25150299072266
13310,2019-09-12,2.56,2.69,2.786,2.935,3.125,3.094,3.41,3.47,3.72,3.99894380569458,2.507031202316284,0.7483232617378235,133.43240356445312
13311,2019-09-16,2.545,2.6830000000000003,2.797,2.954,3.148,3.108,3.429,3.49,3.735,3.8108131885528564,2.6270768642425537,-1.4581239223480225,26.095600128173828
13312,2019-09-16,2.545,2.6830000000000003,2.797,2.954,3.148,3.108,3.429,3.49,3.735,4.058250904083252,2.510605573654175,-0.40229251980781555,68.7619857788086
13313,2019-09-16,2.545,2.6830000000000003,2.797,2.954,3.148,3.108,3.429,3.49,3.735,4.0329461097717285,2.5097193717956543,0.6830379366874695,135.11367797851562
13314,2019-09-17,2.545,2.676,2.8080000000000003,2.954,3.15,3.117,3.43,3.491,3.742,3.7995753288269043,2.6418659687042236,-1.471063494682312,26.043107986450195
13315,2019-09-17,2.545,2.676,2.8080000000000003,2.954,3.15,3.117,3.43,3.491,3.742,4.076987266540527,2.4982073307037354,-0.289747416973114,76.19207763671875
13316,2019-09-17,2.545,2.676,2.8080000000000003,2.954,3.15,3.117,3.43,3.491,3.742,3.9168190956115723,2.4978463649749756,0.9555765390396118,139.1511688232422
13317,2019-09-18,2.54,2.7,2.7710000000000004,2.96,3.17,3.136,3.43,3.49,3.76,3.8190596103668213,2.6336803436279297,-1.4584957361221313,26.607486724853516
